id,Class,Predicted
1000.jpg,RedYellow,RedYellow
1001.jpg,RedYellow,RedYellow
1054.jpg,PurpleYellow,RedYellow
1055.jpg,PurpleYellow,Green
1056.jpg,PurpleYellow,PurpleYellow
1057.jpg,PurpleYellow,PurpleYellow
1058.jpg,PurpleYellow,PurpleYellow
1059.jpg,PurpleYellow,PurpleYellow
1060.jpg,PurpleYellow,PurpleYellow
1085.jpg,RedYellow,Green
1086.jpg,RedYellow,RedYellow
1087.jpg,RedYellow,RedYellow
1185.jpg,PurpleYellow,RedYellow
1186.jpg,PurpleYellow,PurpleYellow
1187.jpg,PurpleYellow,RedYellow
1188.jpg,PurpleYellow,RedYellow
1189.jpg,PurpleYellow,PurpleYellow
1190.jpg,PurpleYellow,PurpleYellow
1191.jpg,PurpleYellow,PurpleYellow
1192.jpg,PurpleYellow,PurpleYellow
1193.jpg,PurpleYellow,PurpleYellow
1194.jpg,PurpleYellow,PurpleYellow
1195.jpg,PurpleYellow,RedYellow
1322.jpg,Green,Green
1323.jpg,Green,Green
1324.jpg,Green,Green
1325.jpg,Green,Green
1326.jpg,Green,Green
1327.jpg,Green,RedYellow
1385.jpg,RedYellow,RedYellow
1386.jpg,RedYellow,RedYellow
1387.jpg,RedYellow,RedYellow
1388.jpg,RedYellow,RedYellow
1389.jpg,RedYellow,RedYellow
139.jpg,Purple,Purple
1390.jpg,RedYellow,RedYellow
1391.jpg,RedYellow,RedYellow
1392.jpg,RedYellow,RedYellow
1400.jpg,Yellow,Yellow
1427.jpg,Green,Green
1428.jpg,Green,Yellow
1429.jpg,Green,Yellow
1430.jpg,Green,Green
163.jpg,Purple,Purple
164.jpg,Purple,Purple
165.jpg,Purple,Purple
170.jpg,GreenRed,GreenYellow
1729.jpg,GreenRed,GreenRed
1730.jpg,GreenRed,Red
1731.jpg,GreenRed,GreenRed
1732.jpg,GreenRed,Purple
1733.jpg,GreenRed,GreenRed
1734.jpg,GreenRed,GreenRed
1735.jpg,GreenRed,GreenRed
1736.jpg,GreenRed,GreenRed
1737.jpg,GreenRed,GreenRed
1738.jpg,GreenRed,GreenRed
1739.jpg,GreenRed,GreenRed
1740.jpg,GreenRed,GreenRed
1741.jpg,GreenRed,GreenRed
1742.jpg,GreenRed,GreenRed
1743.jpg,GreenRed,GreenRed
1744.jpg,GreenRed,GreenRed
1745.jpg,GreenRed,Red
1746.jpg,GreenRed,GreenRed
1747.jpg,GreenRed,GreenRed
1748.jpg,GreenRed,GreenRed
1749.jpg,GreenRed,GreenRed
1750.jpg,GreenRed,GreenRed
1812.jpg,Purple,Purple
1813.jpg,Purple,Purple
1814.jpg,Purple,GreenRed
1815.jpg,Purple,Purple
1816.jpg,Purple,Purple
1817.jpg,Purple,GreenRed
1818.jpg,Purple,GreenRed
1855.jpg,Green,Green
1856.jpg,Green,Green
1857.jpg,Green,GreenRed
1858.jpg,Green,Green
1897.jpg,GreenYellow,GreenYellow
1898.jpg,GreenYellow,GreenRed
1899.jpg,GreenYellow,GreenYellow
1900.jpg,GreenYellow,GreenYellow
1901.jpg,GreenYellow,GreenRed
193.jpg,Purple,Purple
1933.jpg,GreenRed,GreenRed
1934.jpg,GreenRed,GreenRed
1935.jpg,GreenRed,GreenRed
1936.jpg,GreenRed,GreenRed
194.jpg,Purple,Purple
195.jpg,Purple,Purple
1993.jpg,GreenRed,GreenRed
1994.jpg,GreenRed,GreenRed
1995.jpg,GreenRed,GreenRed
1996.jpg,GreenRed,GreenRed
1997.jpg,GreenRed,GreenRed
1998.jpg,GreenRed,GreenRed
1999.jpg,GreenRed,GreenRed
222.jpg,Purple,Purple
223.jpg,Purple,RedYellow
224.jpg,Purple,Purple
225.jpg,Purple,Purple
228.jpg,Purple,Purple
2334.jpg,GreenRed,GreenRed
2335.jpg,GreenRed,GreenRed
2336.jpg,GreenRed,GreenRed
2337.jpg,GreenRed,GreenRed
2338.jpg,GreenRed,GreenRed
2339.jpg,GreenRed,GreenRed
2340.jpg,GreenRed,GreenRed
2341.jpg,GreenRed,GreenRed
2342.jpg,GreenRed,GreenRed
2343.jpg,GreenRed,GreenRed
2344.jpg,GreenRed,GreenRed
2345.jpg,GreenRed,GreenRed
2346.jpg,GreenRed,GreenRed
2347.jpg,GreenRed,GreenRed
2348.jpg,GreenRed,GreenRed
2349.jpg,GreenRed,GreenRed
2350.jpg,GreenRed,GreenRed
2351.jpg,GreenRed,GreenRed
2352.jpg,GreenRed,GreenRed
2353.jpg,GreenRed,GreenRed
2354.jpg,GreenRed,GreenRed
2355.jpg,GreenRed,GreenRed
2356.jpg,GreenRed,GreenRed
2357.jpg,GreenRed,GreenRed
2358.jpg,GreenRed,GreenRed
2359.jpg,GreenRed,GreenRed
2360.jpg,GreenRed,GreenRed
2361.jpg,GreenRed,GreenRed
2380.jpg,GreenYellow,GreenYellow
2381.jpg,GreenYellow,GreenYellow
2382.jpg,GreenYellow,GreenYellow
244.jpg,Purple,Purple
245.jpg,Purple,Purple
2512.jpg,Yellow,GreenRed
2513.jpg,Yellow,Purple
2514.jpg,Yellow,GreenRed
2515.jpg,Yellow,GreenRed
2516.jpg,Yellow,Yellow
2517.jpg,Yellow,Yellow
2518.jpg,Yellow,Yellow
2525.jpg,GreenRed,PurpleYellow
2541.jpg,PurpleYellow,PurpleYellow
2542.jpg,PurpleYellow,PurpleYellow
2547.jpg,Yellow,GreenRed
2566.jpg,RedYellow,RedYellow
2567.jpg,RedYellow,RedYellow
2570.jpg,Purple,Purple
2593.jpg,Green,Green
2594.jpg,Green,RedYellow
2595.jpg,Green,Green
2599.jpg,GreenYellow,Yellow
2603.jpg,Yellow,GreenRed
2606.jpg,GreenRed,GreenRed
2682.jpg,GreenRed,Purple
2683.jpg,GreenRed,GreenRed
2684.jpg,GreenRed,GreenRed
2685.jpg,GreenRed,GreenRed
2686.jpg,GreenRed,GreenRed
2687.jpg,GreenRed,Purple
2688.jpg,GreenRed,GreenRed
2689.jpg,GreenRed,GreenRed
2690.jpg,GreenRed,GreenRed
2700.jpg,Green,Green
2717.jpg,Green,Green
2718.jpg,Green,GreenRed
2737.jpg,Yellow,Green
2738.jpg,Yellow,Green
2754.jpg,Green,Green
2755.jpg,Green,Green
2892.jpg,Purple,GreenRed
2893.jpg,Purple,Green
2894.jpg,Purple,RedYellow
2895.jpg,Purple,Green
2896.jpg,Purple,Purple
2897.jpg,Purple,Green
2898.jpg,Purple,GreenRed
2899.jpg,Purple,Purple
2900.jpg,Purple,Purple
2901.jpg,Purple,Purple
2902.jpg,Purple,Red
2903.jpg,Purple,PurpleYellow
2904.jpg,Purple,GreenRed
2905.jpg,Purple,PurpleYellow
2906.jpg,Purple,Purple
2907.jpg,Purple,GreenRed
2908.jpg,Purple,Purple
2994.jpg,GreenRed,GreenRed
2995.jpg,GreenRed,GreenRed
2996.jpg,GreenRed,GreenRed
2997.jpg,GreenRed,GreenRed
2998.jpg,GreenRed,GreenRed
2999.jpg,GreenRed,GreenRed
3000.jpg,GreenRed,GreenRed
3001.jpg,GreenRed,GreenRed
3002.jpg,GreenRed,GreenRed
3003.jpg,GreenRed,GreenRed
3278.jpg,GreenRed,GreenRed
3279.jpg,GreenRed,GreenRed
3280.jpg,GreenRed,GreenRed
3281.jpg,GreenRed,GreenRed
3282.jpg,GreenRed,GreenRed
3283.jpg,GreenRed,Green
3284.jpg,GreenRed,GreenRed
3285.jpg,GreenRed,GreenRed
3286.jpg,GreenRed,GreenRed
3287.jpg,GreenRed,GreenRed
3288.jpg,GreenRed,GreenRed
3289.jpg,GreenRed,GreenRed
3290.jpg,GreenRed,GreenRed
3291.jpg,GreenRed,GreenRed
3292.jpg,GreenRed,GreenRed
3293.jpg,GreenRed,GreenRed
3294.jpg,GreenRed,GreenRed
3295.jpg,GreenRed,RedYellow
3296.jpg,GreenRed,GreenRed
3297.jpg,GreenRed,GreenRed
3298.jpg,GreenRed,GreenRed
3329.jpg,GreenRed,GreenRed
3330.jpg,GreenRed,Green
3331.jpg,GreenRed,GreenRed
3332.jpg,GreenRed,GreenRed
3341.jpg,Green,Green
3474.jpg,GreenRed,GreenRed
3475.jpg,GreenRed,GreenRed
3476.jpg,GreenRed,GreenRed
3477.jpg,GreenRed,GreenRed
3478.jpg,GreenRed,GreenRed
3479.jpg,GreenRed,GreenRed
3480.jpg,GreenRed,GreenRed
3481.jpg,GreenRed,GreenRed
3482.jpg,GreenRed,GreenRed
3483.jpg,GreenRed,GreenRed
3484.jpg,GreenRed,GreenRed
3485.jpg,GreenRed,GreenRed
3486.jpg,GreenRed,GreenRed
3487.jpg,GreenRed,GreenRed
3488.jpg,GreenRed,GreenRed
3491.jpg,Green,Red
3505.jpg,PurpleYellow,PurpleYellow
3506.jpg,PurpleYellow,PurpleYellow
3586.jpg,Purple,Purple
3587.jpg,Purple,Purple
3588.jpg,Purple,Purple
3589.jpg,Purple,Purple
3590.jpg,Purple,Purple
3591.jpg,Purple,Purple
3592.jpg,Purple,Purple
3593.jpg,Purple,Purple
3594.jpg,Purple,Purple
3595.jpg,Purple,Purple
3666.jpg,GreenYellow,Green
3667.jpg,GreenYellow,Green
3668.jpg,GreenYellow,Green
3669.jpg,GreenYellow,GreenYellow
3670.jpg,GreenYellow,GreenYellow
3671.jpg,GreenYellow,Green
3672.jpg,GreenYellow,GreenYellow
3673.jpg,GreenYellow,Green
3674.jpg,GreenYellow,GreenYellow
3803.jpg,Yellow,Yellow
