id,Class,Binary_Predicted,Multiclass_Predicted,Ensemble_Predicted
1000.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1001.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1054.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1055.jpg,YellowPurple,Green,YellowPurple,Green
1056.jpg,YellowPurple,YellowPurple,RedYellow,RedYellow
1057.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1058.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1059.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1060.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1085.jpg,RedYellow,RedYellow,Green,RedYellow
1086.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1087.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1185.jpg,YellowPurple,RedYellow,RedYellow,RedYellow
1186.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1187.jpg,YellowPurple,RedYellow,RedYellow,RedYellow
1188.jpg,YellowPurple,RedYellow,RedYellow,RedYellow
1189.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1190.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1191.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1192.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1193.jpg,YellowPurple,YellowPurple,YellowPurple,YellowPurple
1194.jpg,YellowPurple,GreenRed,RedYellow,RedYellow
1195.jpg,YellowPurple,RedYellow,YellowPurple,RedYellow
1322.jpg,Green,Green,Green,Green
1323.jpg,Green,Green,Green,Green
1324.jpg,Green,Green,Green,Green
1325.jpg,Green,Green,Green,Green
1326.jpg,Green,Green,Green,Green
1327.jpg,Green,RedYellow,RedYellow,RedYellow
1385.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1386.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1387.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1388.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1389.jpg,RedYellow,RedYellow,RedYellow,RedYellow
139.jpg,Purple,Purple,Purple,Purple
1390.jpg,RedYellow,GreenRed,GreenRed,GreenRed
1391.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1392.jpg,RedYellow,RedYellow,RedYellow,RedYellow
1400.jpg,White,White,White,White
1427.jpg,Green,Green,Green,Green
1428.jpg,Green,White,White,White
1429.jpg,Green,White,White,White
1430.jpg,Green,Green,Green,Green
163.jpg,Purple,Purple,Purple,Purple
164.jpg,Purple,Purple,Purple,Purple
165.jpg,Purple,Purple,Purple,Purple
170.jpg,GreenRed,GreenRed,White,GreenRed
1729.jpg,GreenRed,Red,White,GreenRed
1730.jpg,GreenRed,GreenRed,Purple,Purple
1731.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1732.jpg,GreenRed,Purple,GreenRed,GreenRed
1733.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1734.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1735.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1736.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1737.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1738.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1739.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1740.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1741.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1742.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1743.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1744.jpg,GreenRed,White,White,White
1745.jpg,GreenRed,Green,GreenRed,Green
1746.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1747.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1748.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1749.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1750.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1812.jpg,Purple,Purple,Purple,Purple
1813.jpg,Purple,Purple,GreenRed,GreenRed
1814.jpg,Purple,Purple,Purple,Purple
1815.jpg,Purple,Purple,Purple,Purple
1816.jpg,Purple,Purple,Purple,Purple
1817.jpg,Purple,Purple,Purple,Purple
1818.jpg,Purple,GreenRed,GreenRed,GreenRed
1855.jpg,Green,Green,Green,Green
1856.jpg,Green,Green,White,Green
1857.jpg,Green,Green,Green,Green
1858.jpg,Green,Green,Green,Green
1897.jpg,GreenYellow,GreenYellow,GreenYellow,GreenYellow
1898.jpg,GreenYellow,GreenYellow,GreenYellow,GreenYellow
1899.jpg,GreenYellow,GreenYellow,GreenYellow,GreenYellow
1900.jpg,GreenYellow,GreenRed,GreenYellow,GreenYellow
1901.jpg,GreenYellow,GreenRed,GreenRed,GreenRed
193.jpg,Purple,Purple,Purple,Purple
1933.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1934.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1935.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1936.jpg,GreenRed,GreenRed,GreenRed,GreenRed
194.jpg,Purple,Purple,Purple,Purple
195.jpg,Purple,Purple,Purple,Purple
1993.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1994.jpg,GreenRed,GreenRed,GreenYellow,GreenYellow
1995.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1996.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1997.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1998.jpg,GreenRed,GreenRed,GreenRed,GreenRed
1999.jpg,GreenRed,GreenRed,GreenRed,GreenRed
222.jpg,Purple,Purple,Purple,Purple
223.jpg,Purple,Purple,GreenRed,GreenRed
224.jpg,Purple,Purple,Purple,Purple
225.jpg,Purple,Purple,Purple,Purple
228.jpg,Purple,Purple,Purple,Purple
2334.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2335.jpg,GreenRed,GreenRed,GreenYellow,GreenYellow
2336.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2337.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2338.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2339.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2340.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2341.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2342.jpg,GreenRed,Green,GreenRed,Green
2343.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2344.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2345.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2346.jpg,GreenRed,GreenRed,Green,Green
2347.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2348.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2349.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2350.jpg,GreenRed,GreenRed,GreenRed,GreenRed
2351.jpg,GreenRed,GreenRed,GreenRed,GreenRed
