id,Class,Binary_Predicted,Multiclass_Predicted,Ensemble_Predicted
1000.jpg,Yellow,Yellow,Yellow,Yellow
1001.jpg,Yellow,Yellow,Yellow,Yellow
1054.jpg,Yellow,Yellow,Yellow,Yellow
1055.jpg,Yellow,Purple,Purple,Purple
1056.jpg,Yellow,Yellow,Yellow,Yellow
1057.jpg,Yellow,Purple,Yellow,Purple
1058.jpg,Yellow,Yellow,Yellow,Yellow
1059.jpg,Yellow,Yellow,Yellow,Yellow
1060.jpg,Yellow,Yellow,Yellow,Yellow
1085.jpg,Yellow,Yellow,Yellow,Yellow
1086.jpg,Yellow,Yellow,Yellow,Yellow
1087.jpg,Yellow,Yellow,Yellow,Yellow
1185.jpg,Red,Red,Purple,Purple
1186.jpg,Red,Red,Red,Red
1187.jpg,Red,Yellow,Yellow,Yellow
1188.jpg,Red,Red,Red,Red
1189.jpg,Red,Red,Red,Red
1190.jpg,Red,Red,Red,Red
1191.jpg,Red,Red,Red,Red
1192.jpg,Red,Red,Red,Red
1193.jpg,Red,Yellow,Red,Yellow
1194.jpg,Red,Yellow,Red,Yellow
1195.jpg,Red,Red,Red,Red
1322.jpg,Yellow,Yellow,Yellow,Yellow
1323.jpg,Yellow,Green,Yellow,Yellow
1324.jpg,Yellow,Yellow,Green,Yellow
1325.jpg,Yellow,Yellow,Yellow,Yellow
1326.jpg,Yellow,Yellow,Yellow,Yellow
1327.jpg,Yellow,Yellow,Yellow,Yellow
1385.jpg,Yellow,Yellow,Yellow,Yellow
1386.jpg,Yellow,Yellow,Yellow,Yellow
1387.jpg,Yellow,Yellow,Yellow,Yellow
1388.jpg,Yellow,Yellow,Yellow,Yellow
1389.jpg,Yellow,Yellow,Yellow,Yellow
139.jpg,Purple,Purple,Purple,Purple
1390.jpg,Yellow,Purple,Yellow,Purple
1391.jpg,Yellow,Yellow,Yellow,Yellow
1392.jpg,Yellow,Yellow,Yellow,Yellow
1400.jpg,Yellow,Yellow,Yellow,Yellow
1427.jpg,Yellow,Yellow,Yellow,Yellow
1428.jpg,Yellow,Yellow,Yellow,Yellow
1429.jpg,Yellow,Yellow,Yellow,Yellow
1430.jpg,Yellow,Yellow,Yellow,Yellow
163.jpg,Purple,Purple,Purple,Purple
164.jpg,Purple,Purple,Purple,Purple
165.jpg,Purple,Purple,Purple,Purple
170.jpg,Green,Yellow,Yellow,Yellow
1729.jpg,Purple,Purple,Purple,Purple
1730.jpg,Purple,Purple,Purple,Purple
1731.jpg,Purple,Purple,Purple,Purple
1732.jpg,Purple,Purple,Purple,Purple
1733.jpg,Purple,Purple,Purple,Purple
1734.jpg,Purple,Purple,Purple,Purple
1735.jpg,Purple,Purple,Purple,Purple
1736.jpg,Purple,Purple,Purple,Purple
1737.jpg,Purple,Purple,Purple,Purple
1738.jpg,Purple,Purple,Purple,Purple
1739.jpg,Purple,Purple,Purple,Purple
1740.jpg,Purple,Purple,Purple,Purple
