,f1-score,precision,recall,support
Green,0.8421052631578947,0.7868852459016393,0.9056603773584906,159.0
GreenRed,0.888235294117647,0.877906976744186,0.8988095238095238,168.0
GreenYellow,0.75,0.8076923076923077,0.7,30.0
Purple,0.9102167182662539,0.9483870967741935,0.875,168.0
PurpleYellow,0.7586206896551724,0.7586206896551724,0.7586206896551724,29.0
Red,0.8266666666666667,0.8857142857142857,0.775,40.0
RedYellow,0.8113207547169813,0.7413793103448276,0.8958333333333334,48.0
Yellow,0.875,0.9236111111111112,0.83125,160.0
micro avg,0.8628428927680798,0.8628428927680798,0.8628428927680798,802.0
macro avg,0.832770673322577,0.8412746279922154,0.830021740519565,802.0
weighted avg,0.8635221169771601,0.8690218002283274,0.8628428927680798,802.0
